Stock,Date,Close/Last,Volume,Open,High,Low
TSLA,7/30/20,1487.49,7621039,1488,1513.24,1471
TSLA,7/29/20,1499.11,9426893,1501,1534.81,1487
TSLA,7/28/20,1476.49,15808700,1504,1564.7,1474.42
TSLA,7/27/20,1539.6,16048670,1435,1547.94,1413
TSLA,7/24/20,1417,19396620,1416.01,1465,1366.54
TSLA,7/23/20,1513.07,24328500,1678.95,1689,1480.77
TSLA,7/22/20,1592.33,14161080,1599,1626.42,1562
TSLA,7/21/20,1568.36,16157280,1639.93,1675,1558
TSLA,7/20/20,1643,17121370,1519.01,1650,1488
TSLA,7/17/20,1500.84,9329972,1513.45,1537.51,1490
TSLA,7/16/20,1500.64,14300790,1477.16,1531.71,1466
TSLA,7/15/20,1546.01,16367830,1543,1550,1457
TSLA,7/14/20,1516.8,23418140,1556,1590,1431
TSLA,7/13/20,1497.06,38985360,1659,1794.99,1471.11
TSLA,7/10/20,1544.65,23337550,1396,1548.92,1376.01
TSLA,7/9/20,1394.28,11717600,1396.99,1408.56,1351.28
TSLA,7/8/20,1365.88,16311310,1405,1417.26,1311.34
TSLA,7/7/20,1389.86,21489660,1405.01,1429.5,1336.71
TSLA,7/6/20,1371.58,20569860,1276.69,1377.79,1266.04
TSLA,7/2/20,1208.66,17250120,1221.48,1228,1185.6
TSLA,7/1/20,1119.63,13326900,1083,1135.33,1080.5
TSLA,6/30/20,1079.81,16918500,1006.5,1087.69,1003.73
TSLA,6/29/20,1009.35,9026404,969.01,1010,948.52
TSLA,6/26/20,959.74,8854908,994.78,995,954.87
TSLA,6/25/20,985.98,9254549,954.27,985.98,937.15
TSLA,6/24/20,960.85,10959590,994.11,1000.88,953.14
TSLA,6/23/20,1001.78,6365271,998.88,1012,994.01
TSLA,6/22/20,994.32,6362350,999.95,1008.88,990.02
TSLA,6/19/20,1000.9,8679749,1012.78,1015.97,991.34
TSLA,6/18/20,1003.96,9751936,1003,1019.2,994.47
TSLA,6/17/20,991.79,9890800,987.71,1005,982.57
TSLA,6/16/20,982.13,14051080,1011.85,1012.88,962.39
TSLA,6/15/20,990.9,15697180,917.79,998.84,908.5
TSLA,6/12/20,935.28,16763370,980,987.98,912.6
TSLA,6/11/20,972.84,15916480,990.2,1018.96,972
TSLA,6/10/20,1025.05,18563410,991.88,1027.48,982.5
TSLA,6/9/20,940.67,11388150,940.01,954.44,923.93
TSLA,6/8/20,949.92,14174730,919,950,909.16
TSLA,6/5/20,885.66,7811917,877.84,886.52,866.2
TSLA,6/4/20,864.38,8887713,889.88,895.75,858.44
TSLA,6/3/20,882.96,7949469,888.12,897.94,880.1
TSLA,6/2/20,881.56,13565600,894.7,908.66,871
TSLA,6/1/20,898.1,15085300,858,899,854.1
TSLA,5/29/20,835,11812490,808.75,835,804.21
TSLA,5/28/20,805.81,7275774,813.51,824.75,801.69
TSLA,5/27/20,820.23,11549530,820.86,827.71,785
TSLA,5/26/20,818.87,8089736,834.5,834.6,815.71
TSLA,5/22/20,816.88,9987475,822.17,831.78,812
TSLA,5/21/20,827.6,12254580,816,832.5,796
TSLA,5/20/20,815.56,7309271,820.5,826,811.8
TSLA,5/19/20,808.01,9636522,815.17,822.07,806.08
TSLA,5/18/20,813.63,11698100,827.78,834.72,803.88
TSLA,5/15/20,799.17,10518430,790.35,805.05,786.55
TSLA,5/14/20,803.33,13682190,780,803.36,764
